UID,X,Y,name_first,name_second,introduction,difficulty,completionTime,length,difficulty_level_1,difficulty_level_1,course_style,duration_nights,duration_up_to_time,distance
241,175.1639792,-38.52462111,Omaru Falls Walk,,"A gentle 30 min walk through bush and over farmland to the beautiful Omaru Falls. On Omaru Road, clearly signposted from SH4.",Easy,1 hr,1696.99,2,1,one_way,0,1,1.7 kilometer
242,172.8329311,-41.84212193,Lake Rotoiti Circuit,,"Walk around Lake Rotoiti surrounded by high mountain peaks – with the option to catch a water taxi one way or to stay overnight in a hut, it's a great option for families with children.",Advanced,7-10 hr,17673.36,4,1,one_way,0,10,17.68 kilometer
243,167.9750149,-44.6652602,Tutoko Valley Route,,This challenging tramping route leads up the Tutoko river valley through beech forest and open flats under impressive Fiordland mountain peaks.,Expert,5 hr,3196.47,5,1,one_way,0,5,3.2 kilometer
244,176.1792669,-39.82187294,North Block Road tramping tracks,,North Block Road is the most popular starting point for visitors to Eastern Ruahine Forest Park. From there tramping tracks take you to Smith’s Stream Hut and Waipawa Forks Hut.,Advanced,5 - 7 hr one way,5392.49,4,1,one_way,0,7,5.4 kilometer
245,174.9303168,-41.34895167,Catchpool Loop Walk,,Walk through a nikau grove and podocarp/broadleaf forest.,Easy,30 min,5469.35,2,1,one_way,0,0.5,5.47 kilometer
246,170.0896827,-45.57107006,Sutton Salt Lake walk,,"Take a self-guided loop walk around Sutton Salt Lake, New Zealand's only inland salt lake. ",Easiest,40 - 60 m,3332.45,1,1,one_way,0,1,3.34 kilometer
247,170.4712372,-43.99144337,Lake Tekapo town tracks,,These tracks can be reached on foot from Lake Tekapo township. ,Advanced,Various: 1 hr 30 min - 3 hr,12069.21,4,1,one_way,0,3,12.07 kilometer
248,175.4117957,-36.49652763,Coromandel Walkway and mountain bike track,,Walk or mountain bike between Fletcher Bay and Stony Bay. ,Easy,7 hr return,16519.89,2,1,return,0,7,16.52 kilometer
249,167.5136478,-45.02084995,George Sound Route,,"This very challenging tramping route goes from Lake Te Anau across to George Sound, Fiordland.",Expert,3-4 days one way,17522.27,5,1,one_way,3,72,17.53 kilometer
250,168.6767714,-44.83463472,Crystal Battery Track,,"Retrace the miners’ daily walk from their homes in Skippers to the Crystal Mine, their workplace in the 1930s and 40s.",Intermediate,2 hr,2078.32,3,1,one_way,0,2,2.08 kilometer
251,176.082199,-38.18631469,Mokaihaha Track,,Large podocarps and a chance to hear kaka and other native birdlife while walking along the Mokaihaha Track which takes you past Lake Rotohokahoka.,Advanced,2 hr,5354.84,4,1,one_way,0,2,5.36 kilometer
252,168.5274676,-45.07332148,Bob’s Cove Track & Nature Walk,,This short walk passes through native bush to reach a stunning cove on Lake Wakatipu - it's a great option for kids.,Easy,20 min one way,6431.94,2,1,one_way,0,0.33,6.44 kilometer
253,174.0432956,-39.10399643,Ratapihipihi Scenic Reserve walk,,Walk through an outstanding example of a subtropical rain forest past a scenic waterfall on this well-graded short walk - with a sheltered picnic at the car park it's great option for families.,Easiest,45 min,1693.53,1,1,one_way,0,0.83,1.7 kilometer
254,168.5470648,-45.05585505,Lake Dispute Track,,Zigzag up to a high country lake that is a popular fishing spot for trout.,Easy,1 hr 30 min return,2847.84,2,1,return,0,1.5,2.85 kilometer
255,169.0414483,-44.54781868,Minaret Burn Track,,"This walk passes through native forest and bush, crossing burns (streams) and giving access to Lake Wanaka itself. This track is suitable for walking, mountain biking and horse riding.",Easy,4 hr 30 min | 8 hr,21981.64,2,1,one_way,0,8,21.99 kilometer
256,174.866523,-41.25596885,Matiu/Somes Island Bullock Track,,"Walk through forest to the centre of Matiu/Somes Island, on one of the original tracks on the island.",Easy,10 min,143.56,2,1,one_way,0,0.17,143.57 meter
257,175.7633309,-38.96790184,Tokaanu Thermal Walk,,"See steaming hot mineral pools and spluttering mud pools on this short, easy walk - it's a good option for children but be sure to supervise them. ",Easiest,20 min,579.07,1,1,one_way,0,0.33,579.08 meter
258,172.766947,-42.4266744,Homestead Run,,"For young families or riders with insufficient time or experience to attempt the full St James Cycle Trail, the Homestead Run will give you a taste of St James.",Easy,5 hr,7033.47,2,1,one_way,0,5,7.04 kilometer
259,174.0533159,-39.23581422,Pouakai Crossing,,"Wind across the lower slopes of the Mt Taranaki - discover towering cliffs, a mighty waterfall, a sphagnum moss swamp and stunning views on this day walk version of the popular 2–3 day Pouakai Circuit.",Advanced,7 hr 30 min - 9 hr 30 min,18647.1,4,1,one_way,0,9.5,18.65 kilometer
260,174.953692,-41.34927724,Cattle Ridge Track,,This track gives outstanding views of the Remutaka Range and Orongorongo Valley.,Advanced,1 hr 30 min one way,10550.89,4,1,one_way,0,1.5,10.56 kilometer
261,174.5551169,-38.86312183,Whitecliffs Walkway,,This walkway uses the Kapuni to Auckland gas pipeline route for a considerable distance.  The laying of the pipeline opened up walking access to the dramatic forest and coastal country of the region.,Easy,up to 8 hr,11587.27,2,1,one_way,0,8,11.59 kilometer
262,175.8529905,-37.59111006,Te Rereatukahia Loop Track,,Grass clearings and an old fence are a legacy of days gone by when this section was highly modified by burning and farming.,Advanced,7 hr,13865.23,4,1,one_way,0,7,13.87 kilometer
263,168.68132,-44.511619,Shotover Saddle Route,,The Shotover Saddle Route offers magnificent views of the West Matukituki and Rob Roy valleys.,Expert,6 hr,2602.2,5,1,one_way,0,6,2.61 kilometer
264,175.2937637,-41.53117798,Aorangi Crossing,,Cross the Aorangi Range from Putangirua Pinnacles to Cape Palliser.,Advanced,2-3 days,21512.77,4,1,one_way,2,48,21.52 kilometer
265,169.015809,-44.24852957,Wilkin Valley tracks,,"These tracks follow the upper reaches of the Wilkin Valley and can be treated as a separate tramping trip or connect with, say, the Gillespie Circuit. It can also lead to a route to the Matukituki Valley.",Advanced,6 - 8 hr,32332.08,4,1,one_way,0,8,32.34 kilometer
266,177.0842105,-38.79216788,Lake Waikaremoana, Panekire Bluffs,Climb up to Panekire Bluffs for magnificant views of Lake Waikaremoana and the surrounding mountains.,Intermediate,1-2 days,8541.82,3,1,one_way,1,24,8.55 kilometer
267,177.385703,-38.11877588,Te Waiti Nature Trail,,An ideal family walk through nikau and tawa forest.,Easy,30 min - 1hr,616.8,2,1,one_way,0,1,616.81 meter
268,173.3029231,-42.86492903,Tweedies Gully Walk ,,Walk from Gore Bay through a scenic reserve to a lookout with views of Pegasus Bay.,Easy,1-2 hr,1524.48,2,1,one_way,0,2,1.53 kilometer
269,169.2532123,-43.82328811,Historic Haast to Paringa Cattle Track,,"This track was built in 1875 by farmers at Haast. Stock were driven from the Landsborough and Cascade valleys to sale yards at Whataroa, a two-week journey at best. It’s now a three-day tramp.",Advanced,3 days,33217.85,4,1,one_way,3,72,33.22 kilometer
270,173.8352737,-40.92607571,French Pass Lookout Track,,"This track takes you to a viewpoint over historic Te Aumiti/French Pass, where the tide rushes back and forth like a river. ",Easiest,10 min,594.72,1,1,one_way,0,0.17,594.72 meter
271,175.4491715,-40.88101185,Mt Holdsworth - Jumbo Circuit,,The classic Mt Holdsworth - Jumbo Circuit is a two to three day tramp involving a climb through beech-podocarp forest to some of the best alpine tops travel in the Tararua Forest Park.,Intermediate,12 hr,21310.19,3,1,one_way,0,12,21.32 kilometer
272,175.8246168,-41.34659677,Honeycomb Rock Walkway,,"Honeycomb Rock is a spectacular outcrop on the Wairarapa coast, so named because of the cell-like weathering pattern which gives the rock a honeycomb appearance.","Easy,Expert",5 - 6 hr return,8305.93,2,5,return,0,6,8.31 kilometer
273,167.9397005,-45.69730475,Takitimu Mountains tracks and routes,,Explore Takitimu Mountains on these tracks and routes.,Advanced,8 hr | 11 hr one way,23383.01,4,1,one_way,0,11,23.39 kilometer
274,173.9522514,-35.21686631,Kerikeri River Track,,"Follow the bank of the Kerikeri River through regenerating forest and discover the remains of an historic power house, and Wharepuke and Rainbow Falls - it's a great option for walking children. ",Easy,1 hr 30 min,4178.76,2,1,one_way,0,1.5,4.18 kilometer
275,174.56917,-35.848761,Peach Cove Track,,The 3-hour return walk along the Peach Cove Track requires skill and a reasonable level of fitness. The track has several steep climbs before it drops down to Peach Cove’s sandy beach.,Easy,3 hr return,2849.76,2,1,return,0,3,2.85 kilometer
276,170.464692,-43.24497811,Mount Adams Route,,"Mount Adams sits proudly on the edge of the Adams Wilderness Area in the Southern Alps/Kā Tiritiri o te Moana, and is a focal point for travellers along State Highway 6 from Lake Ianthe to Lake Wahapo.",Expert,2 days,6119.34,5,1,one_way,2,48,6.12 kilometer
277,168.0646246,-44.51784236,Hollyford Track,,"The Hollyford Track is a fantastic 4-8 day Fiordland tramp from the mountains to the sea at Martins Bay, and can be walked all year round.",Advanced,4 - 5 days,56862.51,4,1,one_way,4,96,56.87 kilometer
278,175.3889838,-36.09553333,Burrill Route,,Burrill Route was formed in the 1970s by miners prospecting for copper.,Expert,8 - 9 hr return,8075.61,5,1,return,0,9,8.08 kilometer
279,173.3994557,-34.82723525,Karikari Bay Walk,,"Take a quick walk to a long, white sandy beach on Northland's Karikari Peninsula.",Easiest,5 min,524.69,1,1,one_way,0,0.17,524.69 meter
280,172.336309,-43.18403583,Wooded Gully loop walks,,"There are numerous options, some suitable for children, for a loop walk from Wooded Gully picnic area.",Easy,1 hr return | 2 hr return,4257.11,2,1,return,0,2,4.26 kilometer
281,169.0564191,-44.2112604,Gillespie Pass Circuit,,"This excellent circuit for experienced parties provides spectacular mountain scenery, alpine vegetation and river valleys filled with silver beech/tawhai.  The side trip to Crucible Lake is exceptional.",Advanced,3 - 4 days,64118.82,4,1,one_way,3,72,64.12 kilometer
282,174.1014366,-39.31940414,Dawson Falls walking tracks,,"Walk to a picturesque, 18 m waterfall or through goblin forest to lava-formed pools that are good for a dip - these tracks are suitable for children and have plenty to keep them interested.",Easy,5 min - 3 hr,4778.2,2,1,one_way,0,3,4.78 kilometer
283,175.0949166,-37.86196673,Karamu Walkway,,Superb 360 degree views and impressive limestone bluffs are features of this walk.,Advanced,25 min to 3 hr,10378.45,4,1,one_way,0,3,10.38 kilometer
284,175.958477,-37.78105404,Leyland O'Brien Tramline Track,,Explore the old Leyland O’Brien tramline besides the headwaters of the Ngamuwahine River.,Advanced,2 hr one way,5998.89,4,1,one_way,0,2,6 kilometer
285,176.3827481,-37.75314258,Kaituna Wetland Loop Track,,Two loop tracks and a wonderful viewing hide have been built so you get up close and personal with the wetland.,Easy,1 hr 15 min,4496.86,2,1,one_way,0,1.25,4.5 kilometer
286,176.1830225,-39.79232685,Sunrise Track,,"This well-graded track is a great overnight tramp for families with children and new trampers - it passes through changing forest types to the open tops, with great views of the Hawke’s Bay plains and excellent sunrises from the hut. ",Easy,2 - 3 hr,5253.59,2,1,one_way,0,3,5.26 kilometer
287,174.5351628,-36.0668377,Langsview Track,,"For amazing views of the countryside and coastline, follow this track along the ridgeline of the Brynderwyn range.",Easy,3 hr,6615.11,2,1,one_way,0,3,6.62 kilometer
288,172.6572018,-43.78540257,Christchurch - Little River Railtrail,,The whole 44 km-long walkway and cycleway runs from Hornby (Ōtautahi/Christchurch) to Little River on Banks Peninsula. Easy grades makes this walk or ride suitable for young children and family groups.,Easy,4 hr 30 min | 8 hr,22586.07,2,1,one_way,0,8,22.59 kilometer
289,172.7556148,-34.45732603,Te Paki Coastal Track,,This scenic track follows the rugged coastline of Cape Reinga and descends to Te Werahi and Twilight beaches. Self-sufficient camping is available. ,Easy,3-4 days,47147.35,2,1,one_way,3,72,47.15 kilometer
290,171.3018697,-43.62694102,Nature Trail,,Enjoy a short walk alongside Woolshed Creek.,Easy,30 min one way,751.29,2,1,one_way,0,0.5,751.3 meter
291,174.5099989,-35.8209877,Mount Manaia Track,,A steady climb through regenerating native bush to the summit of Mount Manaia rewards you with breathtaking views of the dramatic entrance to Whangarei Harbour. ,Easy,2 hr,1823.82,2,1,one_way,0,2,1.83 kilometer
292,174.087409,-41.19653215,Queen Charlotte Track,,Experience the spectacular Marlborough Sounds whilst walking or biking the Queen Charlotte Track. The track stretches 70 km from historic Meretoto/Ship Cove through to Anakiwa in the Grove Arm of Queen Charlotte Sound.,Intermediate,3-5 days,65134.84,3,1,one_way,4,96,65.14 kilometer
293,177.3881146,-38.27966379,Little Manganuku Track ,,This track starts from a historic 'Howe truss' bridge and has excellent waterfall and forest views.,Advanced,2 hr 30 min one way,2946.38,4,1,one_way,0,2.5,2.95 kilometer
294,176.0075236,-39.897251,Rangiwahia Hut Track,,This well-graded track to the tussock tops on Whanahuia Range is a great overnight tramp for families with children and new trampers.,Easy,2 - 3 hr,4191.58,2,1,one_way,0,3,4.2 kilometer
295,174.802487,-38.47091454,Mahoenui Track,,Walk alongside the Awakino River to Leitch's Hut.,Advanced,8 hr ,11422.56,4,1,one_way,0,8,11.43 kilometer
296,174.7264169,-38.46005247,Waikawau Track ,,This route for intrepid trampers is the longest track to Leitch's Hut. ,Advanced,14 hr,10707.34,4,1,one_way,1,24,10.71 kilometer
297,174.087409,-41.19653215,Queen Charlotte Track, Guided walks,A variety of operators offer guided walks along the spectacular Queen Charlotte Track in the heart of the Marlborough Sounds. Relax in comfortable accommodation showcasing the gourmet cuisine that the region is renowed for.,Advanced,4 - 5 days,65134.84,4,1,one_way,4,96,65.14 kilometer
298,173.1962236,-35.03271511,Lake Ngatu Track,,"Enjoy an easy walk with the family around Lake Ngatu - a freshwater dune lake and recreation reserve. The lake is popular with water sport enthusiasts, day visitors, and locals.",Easy,1 hr,3348.69,2,1,one_way,0,1,3.35 kilometer
299,178.3084304,-38.2313073,Anaura Bay Walkway,,"This track passes through coastal forest, pine-clad valleys and dense native bush - with a fairly easy grade it's suitable for children, although some climbing is required and there are a few steep places.",Easy,2 hr,4049.06,2,1,one_way,0,2,4.05 kilometer
300,175.0939536,-38.26096863,Waitomo Walkway,,"The Waitomo Walkway traverses classic limestone landscape, meanders beside the Waitomo Stream through forest and open farmland.",Easy,1 hr 15 min one way,3493.12,2,1,one_way,0,1.25,3.5 kilometer
301,170.0375426,-43.48983494,Fox Glacier / Te Ara o Tuawe Valley Walk,,Get spectacular views of Fox Glacier/Te Moeke o Tuawe on one of our best short walks. It's suitable for children - and they can earn a Kiwi Guardians medal too! ,Easiest,1 hr return,1415.75,1,1,return,0,1,1.42 kilometer
302,171.3241491,-42.43437379,Brunner Mine Site Walk,,Explore the fascinating and family-friendly historic Brunner Mine and enjoy the interactive displays.,Easiest,1 hr ,685.08,1,1,one_way,0,1,685.08 meter
303,167.3688507,-45.98410746,Lake Hauroko Lookout Track,,This steep tramping track climbs from the edge of Lake Hauroko to a lookout with great views over the lake and nearby mountain ranges. ,Advanced,4 hr return,3075.53,4,1,return,0,4,3.08 kilometer
304,174.7983744,-37.86898074,Karioi summit tracks,,Karioi is an ancient volcano and the views from the summit  are spectacular. ,Advanced,2 - 3 hr 30 min one way,7347.55,4,1,one_way,0,3.5,7.35 kilometer
305,176.2206607,-40.90463048,Deliverance Cove Track,,The two possible routes on this Castlepoint walk offer spectacular views as you climb above the lagoon to the base of Castle Rock - it's suitable for children.,Easy,1 hr 30 min return,1456.71,2,1,return,0,1.5,1.46 kilometer
306,170.1493843,-45.8752319,Woodside Glen and Maungatua summit walks,,"You can walk from Outram and across Lee Creek, or for a more challenging walk follow the tramping track to the Maungatua (Maukaatua) summit.","Easy,Advanced",2 hr 30 min or 8 hr 30 min return,6293.22,2,3,return,0,8.5,6.3 kilometer
307,169.146338,-45.0770941,Bannockburn Sluicings,,This vanished landscape is New Zealand’s own wild west: The Bannockburn Sluicings are the scarred landscapes of a short-lived goldmining era. ,Easy,1 hr 30 min,3420.03,2,1,one_way,0,1.5,3.43 kilometer
308,168.665947,-44.464451,Liverpool Track,,"Liverpool Track is in the Matukituki Valley, an hour’s drive west from Wanaka. The track starts at Aspiring Hut which you get to on the West Matukituki Track.",Advanced,5 hr 30 min  - 6 hr 30 min one way,14470.68,4,1,one_way,0,6.5,14.48 kilometer
309,173.5339515,-35.60947249,Four Sisters Walk,,"This short, easy forest walk leads to four tall kauri trees growing extremely close together - it's a good option with children.",Easiest,10 min,586.56,1,1,one_way,0,0.17,586.57 meter
310,168.66593,-44.463917,West Matukituki Track,,"The walk to Aspiring Hut, with views up and down the West Matukituki Valley, is a great overnight tramp for families with children. It leads onto French Ridge and Liverpool Hut tracks.","Intermediate,Advanced",Various: 2 hr 30 min - 6 hr,15365.15,3,2,one_way,0,6,15.37 kilometer
311,168.0302838,-44.90626432,Hut Creek Track,,This difficult tramping track leads from the Milford Road and up the Hut Creek Valley through beech forest to the river flats. ,Advanced,3 hr to bush edge,2338.23,4,1,one_way,0,3,2.34 kilometer
312,173.6275539,-35.23992101,Omahuta Kauri Sanctuary Walk,,The giant kauri in the Omahuta Kauri Sanctuary were protected from logging in 1951. This short loop track leads you through a stand of mature kauri.,Easy,30 min,719.68,2,1,one_way,0,0.5,719.69 meter
313,173.9426985,-35.21424904,Rainbow Falls Walk,,"This short, easy walk suitable for buggies, leads to the stunning Rainbow Falls on the Kerikeri River.",Easiest,10 min one way,246.13,1,1,one_way,0,0.17,246.13 meter
314,173.423693,-41.48115702,Mt Richmond routes,,These tracks provide access to Mt Richmond (1760 m) and can be combined for weekend round trip.,Expert,2 days,23834.84,5,1,one_way,2,48,23.84 kilometer
315,170.668048,-45.63945408,Huriawa Pā Walk,,Walk around Huriawa Peninsula on a well-formed track suitable for children - take in spectacular views and read plaques with the history of the area. Kids can earn a Kiwi Guardians medal here too.,Easy,45 min,955.57,2,1,one_way,0,0.83,955.58 meter
316,171.1798722,-43.98365418,Orari Gorge Track,,"This circular walk passes through regenerating forest with some large tōtara, kahikatea and mataī.",Easy,1 hr 30 min,2690.01,2,1,one_way,0,1.5,2.7 kilometer
317,169.3403525,-44.94573862,Kānuka Track,,Kānuka Loop Track is the only DOC-managed bush walk in Central Otago.,Advanced,5 hr,9720.54,4,1,one_way,0,5,9.73 kilometer
318,172.7111166,-40.50894122,Farewell Spit and Puponga Farm Park tracks,,Choose from shorter walks good for children or longer walks across farmland - discover a lighthouse and a spectacular rugged coastline.,"Easy,Advanced,Expert",Various times under 5 hr,27414.48,2,4,one_way,0,5,27.42 kilometer
319,172.5256625,-43.14721282,Grey River Nature Trail,,"Walk through mixed tawhai/podocarp forest on this short, easy walk - with a picnic area nearby this is a good option for children.",Easiest,1 hr return,1409.03,1,1,return,0,1,1.41 kilometer
320,174.8585441,-39.34062725,Matemateāonga Track,,Penetrate deep into the wilderness of the Whanganui National Park on old Maori trail and settlers’ dray road. Shorter day and overnight opportunities are also available.,Advanced,3 - 5 days,35089,4,1,one_way,3,72,35.09 kilometer
321,174.7150421,-36.30713854,Mt Tamahunga Walkway ,,Tramp up to the summit of Mt Tamahunga through regenerating native forest. This track is part of Te Araroa - The Long Pathway.,Advanced,1 hr 30 min one way to summit or 3 hr 30 min one w,2529.84,4,1,one_way,0,1.5,2.53 kilometer
322,172.5426321,-42.27866083,Lewis Pass - Waiau Pass - Blue Lake Route,,"Waiau Pass is an alpine crossing suitable for experienced parties only, linking Lewis Pass and Nelson Lakes National Park.",Expert,4 - 5 days,64823.68,5,1,one_way,4,96,64.83 kilometer
323,172.6163082,-41.15864427,Lake Peel tracks,,Walk to the beautiful basin that holds Lake Peel.,Advanced,2 hr 30 min one way,10455.38,4,1,one_way,0,2.5,10.46 kilometer
324,174.3671627,-35.36395816,Whangaruru North Head walking tracks,,The Whangaruru North Head Walking Tracks can be accessed from the popular campsite at Puriri Bay. The tracks follow through native forest and ridgelines before dropping down into secluded bays.,Easy,2-4 hr,6388.54,2,1,one_way,0,4,6.39 kilometer
325,174.1347478,-35.89281859,Tangihua Forest Nature Walk,,This family friendly nature walk winds through native forest and takes just over an hour one way. ,Easy,1 hr 5 min one way,587.17,2,1,one_way,0,1.05,587.18 meter
326,175.3919067,-36.23180503,Whangaparapara, Mount Whangaparapara Track,Climb up to 309 m for views of Whangaparapara harbour.,Advanced,2 hr return,1530.71,4,1,return,0,2,1.54 kilometer
327,174.796649,-38.41450833,Leitch's Track,,Take the shortest route to Leitch's clearing and Leitch's Hut. ,Intermediate,6 hr return,9030.8,3,1,return,0,6,9.04 kilometer
328,176.3391715,-39.37249461,Cameron carpark tramping tracks,,"From the Cameron carpark you can walk to Kuripapaango Trig or Cameron Hut. Tramps to Kiwi Saddle, Kaweka Range, Kiwi Mouth Hut and Back Ridge are also available.",Advanced,Half day,3330.69,4,1,one_way,0,12,3.34 kilometer
329,174.8902588,-36.59984462,Tiritiri Matangi Island walks,,"See a variety of native birds on the walks on this pest-free island, as well as views of the surrounding islands.","Easiest,Easy",20 min - 3 hr,11768.4,1,2,one_way,0,3,11.77 kilometer
330,175.3886712,-36.19237511,Port FitzRoy, Kaiaraara Hut side tracks,"These tracks all start from Kaiaraara Hut, a short distance from the end of Kaiaraara Bay Road, near Port FitzRoy.",Advanced,Various: 30 min - 4 hr one way,15279.22,4,1,one_way,0,4,15.28 kilometer
331,169.193467,-44.495988,Craig Burn Track,,Read about the gold mining history of the area at the carpark then walk to a pleasant picnic spot. ,Easy,1 hr,19048.17,2,1,one_way,0,1,19.05 kilometer
332,172.2379335,-42.63644176,Hope valley (Windy Point) tracks & routes,,"Hope valley in Lake Sumner Forest Park is accessed at Windy Point, beside SH 7, about 160 km from Christchurch.","Advanced,Expert",3-4 days,42715.35,4,2,one_way,3,72,42.72 kilometer
333,172.7835552,-34.45340293,Pandora to Tapotupotu Bay,,This 9 km walk between Pandora and Tapotupotu Bay mainly follows old farm tracks until you reach idyllic Tapotupotu Bay.,Easy,5 hr 30 min,17562.7,2,1,one_way,0,5.5,17.57 kilometer
334,170.6440617,-43.77831965,Camp Stream Hut Track,,The steep climb to Camp Stream Hut is part of Te Araroa  Trail and is popular with people walking the trail over summer and with ski tourers over winter.,Advanced,3 - 4 hr,15212.89,4,1,one_way,0,4,15.22 kilometer
335,177.150494,-38.70923722,Manuoha to Waikareiti Track,,The Manuoha-Waikareiti Track is a spectacular and challenging walk suited to reasonably experienced trampers. The 32 km walk takes a minimum of three days to complete. ,Advanced,3 days,44224.98,4,1,one_way,3,72,44.23 kilometer
336,174.2836226,-35.58761694,Waro Limestone Scenic Reserve Walk,,Walk around spectacular limestone formations - this is a good option for kids with open grassland for exploring as well.,Easy,20 min,891.94,2,1,one_way,0,0.33,891.94 meter
337,169.6747116,-45.86896978,Munro’s Gully Track,,Explore the beech forest and water races right next to the site of New Zealand’s first goldrush and discover historic dams that powered the shifting of entire hills.,Advanced,7 hr one way,1842.65,4,1,one_way,0,7,1.85 kilometer
338,175.5031549,-39.33039862,Waitonga Falls Track,,The 39 m Waitonga Falls is Tongariro National Park’s highest waterfall. The well-formed track passes through mountain beech and kaikawaka forest.,Easy,1 hr 20 min,1864.99,2,1,one_way,0,1.25,1.87 kilometer
339,175.351379,-40.98370699,Holdsworth - Kaitoke Track,,Follows the Waiohine and Tauherenikau Rivers for 36 km between Holdsworth and Kaitoke. A good introductory track for people new to the Tararuas.,Intermediate,3 days,46258.32,3,1,one_way,3,72,46.26 kilometer
340,171.2292257,-43.89648234,Emily Falls and Rata Falls Tracks,,Choose between these two waterfall walks.,Easy,45 min one way | 1 hr one way,2658.04,2,1,one_way,0,1,2.66 kilometer
341,175.02293,-37.20805,Mount William Walkway,,"Enjoy the views from the summit of Mount William, just south of the Bombay Hills.",Advanced,8 hr,4442.9,4,1,one_way,0,8,4.45 kilometer
342,176.346294,-38.1753034,Okareka Mistletoe Walk,,The short walk for the whole family provides views of the threatened native mistletoe.,Easiest,10 mins,137.87,1,1,one_way,0,0.17,137.87 meter
343,168.1033733,-44.70108755,Moraine Creek Route,,This challenging tramping route leads up the Moraine Creek from the Hollyford Road to beautiful Lake Adelaide in an impressive glacial basin. ,Expert,"7-9 hr to lake, 9-11 hr to bivvy rock",4310.94,5,1,one_way,0,11,4.32 kilometer
344,167.5174805,-45.81604691,Lake Monowai Peninsula Lookout Track,,"This pleasant, short walking track leads through beech forest to a lookout at Lake Monowai, Fiordland.",Easiest,30 min return,1196.37,1,1,return,0,0.5,1.2 kilometer
345,176.3301128,-38.18286335,Tikitapu Nature Walk,,This short walk through beautiful forest has information panels about plant and birds along the way - it's a great option for children. ,Easiest,30 min,740.69,1,1,one_way,0,0.5,740.69 meter
346,171.7849031,-41.73339129,Denniston walking tracks,,Explore the wild and remote environment of the Denniston Plateau. The historic sites provide a glimpse of times gone by. ,Easy,40 min - 6 hr,7011.9,2,1,one_way,0,6,7.02 kilometer
347,177.2910433,-38.2079337,Tauranga Loop Track,,This walking track crosses the historic Tauranga Bridge and passes alongside the Tauranga Stream. ,Easy,2 hr,4670.15,2,1,one_way,0,2,4.68 kilometer
348,171.6456767,-43.50876102,Rakaia Gorge Walkway,,This walkway offers several geological and historic features as it traverses the edge of the Rakaia Gorge. ,Easy,3-4 hr,4930.75,2,1,one_way,0,4,4.94 kilometer
349,169.8240656,-43.96440237,Hopkins valley tracks,,"Hopkins valley, in Ruataniwha Conservation Park, is near Lake Ohau. ",Advanced,7 - 11 hr 30 min hr one way,38885.86,4,1,one_way,0,11,38.89 kilometer
350,175.5471346,-36.83205956,Waiau Falls and Kauri Grove Lookout Walk,,Visit a popular swimming hole at Waiau Falls and view a mature kauri grove on this walk. ,Easiest,30 min return,70.69,1,1,return,0,0.5,70.69 meter
351,174.3958874,-35.47320545,Morepork Track,,Follow an old logging road over inland ridges through the Kaiikanui Forest.,Advanced,2 hr,3995.52,4,1,one_way,0,2,4 kilometer
352,175.8435569,-36.97900715,Twin Kauri Track,,A 30 minute walk in the Twin Kauri Scenic Reserve takes you by groves of tree fern and kauri. ,Advanced,30 min,475.37,4,1,one_way,0,0.5,475.37 meter
353,170.5788125,-45.80618572,Grahams Bush Track,,Climb through native bush with views of Otago Harbour and Otago Peninsula.,Easy,2 hr 30 min,2132.36,2,1,one_way,0,2.5,2.14 kilometer
354,174.7277574,-38.9453906,Rerekapa Track,,"This track was made around 1910 by road workers using wheelbarrows, picks and shovels. ",Advanced,3 - 4 hr,9388.04,4,1,one_way,0,4,9.39 kilometer
355,171.1732976,-42.81448126,Mount Tuhua Track,,This is a steep tramp to the open tussock peak of Mt. Tuhua (1125 m) and is suitable for fit people only.,Advanced,7 hr,3501.14,4,1,one_way,0,7,3.51 kilometer
356,174.0621907,-41.52287994,Wairau Lagoons Walkway,,"This flat loop track, ideal for kids, follows the lagoon shoreline with good bird watching to the rusting remains of the Waverley ship.",Easy,3 hr,8363.09,2,1,one_way,0,3,8.37 kilometer
357,173.5746859,-41.2993603,Pelorus Bridge Scenic Reserve walking tracks,,"Enjoy beautiful forest and river scenery on one of several walks - there are short, easy options for kids and a river for them to swim in too.","Easiest,Advanced",Various from 5 min - 4 hr,3734.72,1,4,one_way,0,4,3.74 kilometer
358,177.9598612,-38.59633908,Gray's Bush Scenic Reserve walks,,These walks pass through a remnant of the tall kahikatea (podocarp) forest which once covered much of the Gisborne plains - the shorter option is suitable for buggies and wheelchairs.,Easiest,15 min - 1 hr,1004.35,1,1,one_way,0,1,1.01 kilometer
359,173.8506275,-34.99448563,Mahinepua Peninsula Track,,"The track travels the length of the peninsula, mainly along the ridgetop, giving access to the many sheltered bays and providing outstanding coastal views.",Easy,1 hr one way,2717.7,2,1,one_way,0,1,2.72 kilometer
360,174.9922501,-40.9756405,Whareroa Farm tracks,,"Enjoy regenerating shrubland, coastal views and kohekohe forest on these walks that are suitable for children.","Easiest,Easy,Advanced",5 hr return,7814.48,1,3,return,0,5,7.82 kilometer
361,174.1335631,-35.88794732,Whakapono and Tumanako tracks,,The Whakapono and Tumanako tracks form a loop.  Plan for the walk to take about 2-3 hours if you wish to complete the full loop. ,Easy,2 hr 30,2358.05,2,1,one_way,0,2.5,2.36 kilometer
